timestep,seed,run_type,mean_episode_reward,success_rate,policy_entropy,grad_norm,delta_norm,llc,intervention_flag,current_lr,elapsed_sec
1024,0,llc,0.0,,1.9458966255187988,,,,0,0.00025,1.3397011756896973
2048,0,llc,0.0,,1.939294457435608,0.49170233914628625,0.013541381777031347,0.027831586144036514,0,0.00025,3.058950901031494
3072,0,llc,0.0,,1.9391552209854126,0.4841924225911498,0.010958367580315098,0.02290205022095114,0,0.00025,4.718282461166382
4096,0,llc,0.0,,1.9277361631393433,0.48954905522987247,0.007517701087635942,0.015525627462890716,0,0.00025,6.403607606887817
5120,0,llc,0.018884615384615385,,1.913489580154419,0.48339023999869823,0.007547620145487599,0.015796797991281086,0,0.00025,8.06994915008545
6144,0,llc,0.015838709677419356,,1.9117140769958496,0.48869644245132804,0.007512537369620986,0.01561025155624355,0,0.00025,9.731687068939209
7168,0,llc,0.013638888888888888,,1.9134366512298584,0.4824608061462641,0.008694243391801137,0.01835177139196085,0,0.00025,11.3954017162323
8192,0,llc,0.011975609756097561,,1.9262001514434814,0.47968794498592615,0.011767164949560538,0.02683152082351673,0,0.00025,13.049890279769897
9216,0,llc,0.010559139784946237,,1.906912922859192,0.48151418659836054,0.005873892499948852,0.012342290408218144,0,0.00025,14.71975588798523
10240,0,llc,0.00982,,1.921942114830017,0.48962892685085535,0.009383414158946835,0.019546921068017177,0,0.00025,16.394258975982666
11264,0,llc,0.00982,,1.941192865371704,0.4885992652270943,0.009459975044592284,0.019477200855603404,0,0.00025,18.076479196548462
12288,0,llc,0.00982,,1.9373772144317627,0.4858824680559337,0.00844518430676544,0.017710798272038468,0,0.00025,19.75481629371643
13312,0,llc,0.00982,,1.9284024238586426,0.48783624451607466,0.0076085700347903185,0.015669843257499927,0,0.00025,21.43161630630493
14336,0,llc,0.00982,,1.9328129291534424,0.476931378711015,0.00582771458903153,0.012294559125752929,0,0.00025,23.106555700302124
15360,0,llc,0.0,,1.9278950691223145,0.48619557498022914,0.00358254785896861,0.00742418687066515,0,0.00025,24.773473262786865
16384,0,llc,0.0,,1.9240721464157104,0.48348916321992874,0.0029533234192058444,0.006155234056017745,0,0.00025,26.458959817886353
17408,0,llc,0.0,,1.9353216886520386,0.48692526877857745,0.005653910744513269,0.01178227835678983,0,0.00025,28.1368191242218
18432,0,llc,0.0,,1.9369168281555176,0.4885106054134667,0.004322599048464326,0.008934094754567235,0,0.00025,29.840460062026978
19456,0,llc,0.0,,1.9219402074813843,0.48353185155428946,0.0045794438156008255,0.00991247981496573,0,0.00025,31.518588304519653
20480,0,llc,0.0,,1.9380487203598022,0.4851913838647306,0.005693169168807799,0.011859273971903249,0,0.00025,33.4479398727417
