timestep,seed,run_type,mean_episode_reward,success_rate,policy_entropy,grad_norm,delta_norm,llc,intervention_flag,current_lr,elapsed_sec
1024,2,llc,0.0,,1.945899248123169,,,,0,0.00025,1.3061800003051758
2048,2,llc,0.0,,1.936773657798767,0.49314931919798255,0.013271251060359646,0.027049109082496692,0,0.00025,2.984098196029663
3072,2,llc,0.0,,1.934767484664917,0.49124260852113366,0.009734801453305408,0.020085054389633834,0,0.00025,4.648042440414429
4096,2,llc,0.0,,1.9167083501815796,0.4818833745084703,0.009701540686364751,0.020374705219810066,0,0.00025,6.307272434234619
5120,2,llc,0.0,,1.9050421714782715,0.48704866506159306,0.009222604843671434,0.01916827232432208,0,0.00025,7.968013763427734
6144,2,llc,0.0,,1.926524043083191,0.48146339622326195,0.011985523939074483,0.025044972067410087,0,0.00025,9.626452207565308
7168,2,llc,0.0,,1.9305328130722046,0.48972201393917203,0.006607350645936094,0.013560164730086763,0,0.00025,11.298818826675415
8192,2,llc,0.0,,1.9099239110946655,0.48217245982959867,0.006640144449193031,0.013900014527990378,0,0.00025,12.952483415603638
9216,2,llc,0.0,,1.9193131923675537,0.47996907588094473,0.006653690790699329,0.014101707140055274,0,0.00025,14.616652011871338
10240,2,llc,0.00586,,1.8781267404556274,0.4766758435871452,0.00646892038275837,0.01410614461268899,0,0.00025,16.297646284103394
11264,2,llc,0.00586,,1.8832104206085205,0.4896273766644299,0.007801866457157303,0.01654168028382707,0,0.00025,17.953261613845825
12288,2,llc,0.00713,,1.8435091972351074,0.48943497240543365,0.0050366327795927646,0.010450667947235443,0,0.00025,19.613630294799805
13312,2,llc,0.00713,,1.8586500883102417,0.484937303699553,0.004063560372742359,0.00844541268774907,0,0.00025,21.260393381118774
14336,2,llc,0.00713,,1.8801718950271606,0.4816694096662104,0.004704669301645481,0.009905097323193432,0,0.00025,22.910621404647827
15360,2,llc,0.00713,,1.8929486274719238,0.4756204199511558,0.004735683342005359,0.010199234557416632,0,0.00025,24.56385636329651
16384,2,llc,0.00713,,1.9152357578277588,0.4830325925722718,0.0064914686045085546,0.013661813551607675,0,0.00025,26.235893726348877
17408,2,llc,0.00713,,1.9035639762878418,0.48439561761915684,0.004629084796761163,0.00975004420371411,0,0.00025,27.918882369995117
18432,2,llc,0.01371,,1.8822333812713623,0.49603431997820735,0.007216457088361494,0.014523662493461747,0,0.00025,29.57192850112915
19456,2,llc,0.01695,,1.8930248022079468,0.4886933376546949,0.009207817427522969,0.019213046151025447,0,0.00025,31.24171280860901
20480,2,llc,0.01695,,1.9038243293762207,0.4883720970246941,0.00937824604625348,0.01976585312107261,0,0.00025,32.918577909469604
