timestep,seed,run_type,mean_episode_reward,success_rate,policy_entropy,grad_norm,delta_norm,llc,intervention_flag,current_lr,elapsed_sec
1024,1,baseline,0.0,,1.9458898305892944,,,,0,0.00025,1.3175318241119385
2048,1,baseline,0.0,,1.9370512962341309,,,,0,0.00025,2.9300098419189453
3072,1,baseline,0.0,,1.9187830686569214,,,,0,0.00025,4.531452655792236
4096,1,baseline,0.0,,1.9238297939300537,,,,0,0.00025,6.136263370513916
5120,1,baseline,0.0,,1.9184585809707642,,,,0,0.00025,7.735415935516357
6144,1,baseline,0.01585483870967742,,1.8798013925552368,,,,0,0.00025,9.327427864074707
7168,1,baseline,0.01365277777777778,,1.8830161094665527,,,,0,0.00025,10.917104244232178
8192,1,baseline,0.011987804878048782,,1.8712000846862793,,,,0,0.00025,12.503975868225098
9216,1,baseline,0.028382978723404256,,1.860142469406128,,,,0,0.00025,14.084941387176514
10240,1,baseline,0.026680000000000002,,1.8145509958267212,,,,0,0.00025,15.679497718811035
