timestep,seed,run_type,mean_episode_reward,success_rate,policy_entropy,grad_norm,delta_norm,llc,intervention_flag,current_lr,elapsed_sec
1024,2,baseline,0.0,,1.945899248123169,,,,0,0.00025,1.3077168464660645
2048,2,baseline,0.0,,1.936773657798767,,,,0,0.00025,2.9073598384857178
3072,2,baseline,0.0,,1.934767484664917,,,,0,0.00025,4.508169889450073
4096,2,baseline,0.0,,1.9167083501815796,,,,0,0.00025,6.10467529296875
5120,2,baseline,0.0,,1.9050421714782715,,,,0,0.00025,7.691739082336426
6144,2,baseline,0.0,,1.926524043083191,,,,0,0.00025,9.276296854019165
7168,2,baseline,0.0,,1.9305328130722046,,,,0,0.00025,10.867012977600098
8192,2,baseline,0.0,,1.9099239110946655,,,,0,0.00025,12.473051309585571
9216,2,baseline,0.0,,1.9193131923675537,,,,0,0.00025,14.083983659744263
10240,2,baseline,0.00586,,1.8781267404556274,,,,0,0.00025,15.695725679397583
